Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,183500800,0.45%,13108992,2.90%,896,0.00%,1x3x320x320,1x32x320x320
/model.0/act/Sigmoid,Sigmoid,209715200,0.52%,13107200,2.90%,0,0.00%,1x32x320x320,1x32x320x320
/model.0/act/Mul,Mul,6553600,0.02%,13107200,2.90%,0,0.00%,1x32x320x320,1x32x320x320
/model.1/conv/Conv,Conv,946995200,2.33%,6590592,1.46%,18496,0.03%,1x32x320x320,1x64x160x160
/model.1/act/Sigmoid,Sigmoid,104857600,0.26%,6553600,1.45%,0,0.00%,1x64x160x160,1x64x160x160
/model.1/act/Mul,Mul,3276800,0.01%,6553600,1.45%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/cv1/conv/Conv,Conv,106496000,0.26%,3280960,0.73%,2080,0.00%,1x64x160x160,1x32x160x160
/model.2/cv1/act/Sigmoid,Sigmoid,52428800,0.13%,3276800,0.72%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv1/act/Mul,Mul,1638400,0.00%,3276800,0.72%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv2/conv/Conv,Conv,946995200,2.33%,6590592,1.46%,18496,0.03%,1x32x160x160,1x64x160x160
/model.2/cv2/act/Sigmoid,Sigmoid,104857600,0.26%,6553600,1.45%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/cv2/act/Mul,Mul,3276800,0.01%,6553600,1.45%,0,0.00%,1x64x160x160,1x64x160x160
/model.2/Add,Add,3276800,0.01%,6553600,1.45%,0,0.00%,1x64x160x160,1x64x160x160
/model.3/conv/Conv,Conv,945356800,2.33%,3424512,0.76%,73856,0.12%,1x64x160x160,1x128x80x80
/model.3/act/Sigmoid,Sigmoid,52428800,0.13%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.3/act/Mul,Mul,1638400,0.00%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.0/cv1/conv/Conv,Conv,105676800,0.26%,1654912,0.37%,8256,0.01%,1x128x80x80,1x64x80x80
/model.4/model.4.0/cv1/act/Sigmoid,Sigmoid,26214400,0.06%,1638400,0.36%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.0/cv1/act/Mul,Mul,819200,0.00%,1638400,0.36%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.0/cv2/conv/Conv,Conv,945356800,2.33%,3424512,0.76%,73856,0.12%,1x64x80x80,1x128x80x80
/model.4/model.4.0/cv2/act/Sigmoid,Sigmoid,52428800,0.13%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.0/cv2/act/Mul,Mul,1638400,0.00%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.0/Add,Add,1638400,0.00%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.1/cv1/conv/Conv,Conv,105676800,0.26%,1654912,0.37%,8256,0.01%,1x128x80x80,1x64x80x80
/model.4/model.4.1/cv1/act/Sigmoid,Sigmoid,26214400,0.06%,1638400,0.36%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.1/cv1/act/Mul,Mul,819200,0.00%,1638400,0.36%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/model.4.1/cv2/conv/Conv,Conv,945356800,2.33%,3424512,0.76%,73856,0.12%,1x64x80x80,1x128x80x80
/model.4/model.4.1/cv2/act/Sigmoid,Sigmoid,52428800,0.13%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.1/cv2/act/Mul,Mul,1638400,0.00%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.4/model.4.1/Add,Add,1638400,0.00%,3276800,0.72%,0,0.00%,1x128x80x80,1x128x80x80
/model.5/conv/Conv,Conv,944537600,2.33%,2228736,0.49%,295168,0.48%,1x128x80x80,1x256x40x40
/model.5/act/Sigmoid,Sigmoid,26214400,0.06%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.5/act/Mul,Mul,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.0/cv1/conv/Conv,Conv,105267200,0.26%,884992,0.20%,32896,0.05%,1x256x40x40,1x128x40x40
/model.6/model.6.0/cv1/act/Sigmoid,Sigmoid,13107200,0.03%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.0/cv1/act/Mul,Mul,409600,0.00%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.0/cv2/conv/Conv,Conv,944537600,2.33%,2228736,0.49%,295168,0.48%,1x128x40x40,1x256x40x40
/model.6/model.6.0/cv2/act/Sigmoid,Sigmoid,26214400,0.06%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.0/cv2/act/Mul,Mul,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.0/Add,Add,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.1/cv1/conv/Conv,Conv,105267200,0.26%,884992,0.20%,32896,0.05%,1x256x40x40,1x128x40x40
/model.6/model.6.1/cv1/act/Sigmoid,Sigmoid,13107200,0.03%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.1/cv1/act/Mul,Mul,409600,0.00%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.1/cv2/conv/Conv,Conv,944537600,2.33%,2228736,0.49%,295168,0.48%,1x128x40x40,1x256x40x40
/model.6/model.6.1/cv2/act/Sigmoid,Sigmoid,26214400,0.06%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.1/cv2/act/Mul,Mul,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.1/Add,Add,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.2/cv1/conv/Conv,Conv,105267200,0.26%,884992,0.20%,32896,0.05%,1x256x40x40,1x128x40x40
/model.6/model.6.2/cv1/act/Sigmoid,Sigmoid,13107200,0.03%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.2/cv1/act/Mul,Mul,409600,0.00%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.2/cv2/conv/Conv,Conv,944537600,2.33%,2228736,0.49%,295168,0.48%,1x128x40x40,1x256x40x40
/model.6/model.6.2/cv2/act/Sigmoid,Sigmoid,26214400,0.06%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.2/cv2/act/Mul,Mul,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.2/Add,Add,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.3/cv1/conv/Conv,Conv,105267200,0.26%,884992,0.20%,32896,0.05%,1x256x40x40,1x128x40x40
/model.6/model.6.3/cv1/act/Sigmoid,Sigmoid,13107200,0.03%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.3/cv1/act/Mul,Mul,409600,0.00%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
/model.6/model.6.3/cv2/conv/Conv,Conv,944537600,2.33%,2228736,0.49%,295168,0.48%,1x128x40x40,1x256x40x40
/model.6/model.6.3/cv2/act/Sigmoid,Sigmoid,26214400,0.06%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.3/cv2/act/Mul,Mul,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.3/Add,Add,819200,0.00%,1638400,0.36%,0,0.00%,1x256x40x40,1x256x40x40
/model.6/model.6.4/cv1/conv/Conv,Conv,105267200,0.26%,884992,0.20%,32896,0.05%,1x256x40x40,1x128x40x40
/model.6/model.6.4/cv1/act/Sigmoid,Sigmoid,13107200,0.03%,819200,0.18%,0,0.00%,1x128x40x40,1x128x40x40
