Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,357171200,6.58%,6557088,2.73%,1744,0.09%,1x3x640x640,1x16x320x320
/model.0/act/Sigmoid,Sigmoid,104857600,1.93%,6553600,2.73%,0,0.00%,1x16x320x320,1x16x320x320
/model.0/act/Mul,Mul,3276800,0.06%,6553600,2.73%,0,0.00%,1x16x320x320,1x16x320x320
/model.1/conv/Conv,Conv,237568000,4.38%,3286080,1.37%,4640,0.24%,1x16x320x320,1x32x160x160
/model.1/act/Sigmoid,Sigmoid,52428800,0.97%,3276800,1.36%,0,0.00%,1x32x160x160,1x32x160x160
/model.1/act/Mul,Mul,1638400,0.03%,3276800,1.36%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv1/conv/Conv,Conv,27033600,0.50%,1639456,0.68%,528,0.03%,1x32x160x160,1x16x160x160
/model.2/cv2/conv/Conv,Conv,27033600,0.50%,1639456,0.68%,528,0.03%,1x32x160x160,1x16x160x160
/model.2/cv1/act/Sigmoid,Sigmoid,26214400,0.48%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/cv2/act/Sigmoid,Sigmoid,26214400,0.48%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/cv1/act/Mul,Mul,819200,0.02%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/cv2/act/Mul,Mul,819200,0.02%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m/m.0/cv1/conv/Conv,Conv,13926400,0.26%,1638944,0.68%,272,0.01%,1x16x160x160,1x16x160x160
/model.2/m/m.0/cv1/act/Sigmoid,Sigmoid,26214400,0.48%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m/m.0/cv1/act/Mul,Mul,819200,0.02%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m/m.0/cv2/conv/Conv,Conv,118784000,2.19%,1643040,0.68%,2320,0.12%,1x16x160x160,1x16x160x160
/model.2/m/m.0/cv2/act/Sigmoid,Sigmoid,26214400,0.48%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m/m.0/cv2/act/Mul,Mul,819200,0.02%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m/m.0/Add,Add,819200,0.02%,1638400,0.68%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/cv3/conv/Conv,Conv,54067200,1.00%,3278912,1.37%,1056,0.05%,1x32x160x160,1x32x160x160
/model.2/cv3/act/Sigmoid,Sigmoid,52428800,0.97%,3276800,1.36%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv3/act/Mul,Mul,1638400,0.03%,3276800,1.36%,0,0.00%,1x32x160x160,1x32x160x160
/model.3/conv/Conv,Conv,236748800,4.36%,1675392,0.70%,18496,0.94%,1x32x160x160,1x64x80x80
