Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,367001600,1.83%,26215296,11.15%,448,0.00%,1x3x640x640,1x16x640x640
/model.0/act/Sigmoid,Sigmoid,419430400,2.09%,26214400,11.14%,0,0.00%,1x16x640x640,1x16x640x640
/model.0/act/Mul,Mul,13107200,0.07%,26214400,11.14%,0,0.00%,1x16x640x640,1x16x640x640
/model.1/MaxPool,MaxPool,13107200,0.07%,6553600,2.79%,0,0.00%,1x16x640x640,1x16x320x320
/model.2/conv/Conv,Conv,950272000,4.73%,13116480,5.58%,4640,0.04%,1x16x320x320,1x32x320x320
/model.2/act/Sigmoid,Sigmoid,209715200,1.04%,13107200,5.57%,0,0.00%,1x32x320x320,1x32x320x320
/model.2/act/Mul,Mul,6553600,0.03%,13107200,5.57%,0,0.00%,1x32x320x320,1x32x320x320
/model.3/MaxPool,MaxPool,6553600,0.03%,3276800,1.39%,0,0.00%,1x32x320x320,1x32x160x160
/model.4/conv/Conv,Conv,946995200,4.71%,6590592,2.80%,18496,0.15%,1x32x160x160,1x64x160x160
/model.4/act/Sigmoid,Sigmoid,104857600,0.52%,6553600,2.79%,0,0.00%,1x64x160x160,1x64x160x160
/model.4/act/Mul,Mul,3276800,0.02%,6553600,2.79%,0,0.00%,1x64x160x160,1x64x160x160
/model.5/MaxPool,MaxPool,3276800,0.02%,1638400,0.70%,0,0.00%,1x64x160x160,1x64x80x80
/model.6/conv/Conv,Conv,945356800,4.70%,3424512,1.46%,73856,0.61%,1x64x80x80,1x128x80x80
/model.6/act/Sigmoid,Sigmoid,52428800,0.26%,3276800,1.39%,0,0.00%,1x128x80x80,1x128x80x80
/model.6/act/Mul,Mul,1638400,0.01%,3276800,1.39%,0,0.00%,1x128x80x80,1x128x80x80
/model.7/MaxPool,MaxPool,1638400,0.01%,819200,0.35%,0,0.00%,1x128x80x80,1x128x40x40
/model.8/conv/Conv,Conv,944537600,4.70%,2228736,0.95%,295168,2.42%,1x128x40x40,1x256x40x40
/model.8/act/Sigmoid,Sigmoid,26214400,0.13%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.8/act/Mul,Mul,819200,0.00%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.9/MaxPool,MaxPool,819200,0.00%,409600,0.17%,0,0.00%,1x256x40x40,1x256x20x20
/model.10/conv/Conv,Conv,944128000,4.70%,3179520,1.35%,1180160,9.69%,1x256x20x20,1x512x20x20
/model.10/act/Sigmoid,Sigmoid,13107200,0.07%,819200,0.35%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/act/Mul,Mul,409600,0.00%,819200,0.35%,0,0.00%,1x512x20x20,1x512x20x20
/model.12/MaxPool,MaxPool,1638400,0.01%,819200,0.35%,0,0.00%,1x512x21x21,1x512x20x20
/model.13/conv/Conv,Conv,3775692800,18.79%,11077632,4.71%,4719616,38.77%,1x512x20x20,1x1024x20x20
/model.13/act/Sigmoid,Sigmoid,26214400,0.13%,1638400,0.70%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.13/act/Mul,Mul,819200,0.00%,1638400,0.70%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.14/conv/Conv,Conv,209920000,1.04%,934400,0.40%,262400,2.16%,1x1024x20x20,1x256x20x20
/model.14/act/Sigmoid,Sigmoid,6553600,0.03%,409600,0.17%,0,0.00%,1x256x20x20,1x256x20x20
/model.14/act/Mul,Mul,204800,0.00%,409600,0.17%,0,0.00%,1x256x20x20,1x256x20x20
/model.15/conv/Conv,Conv,944128000,4.70%,3179520,1.35%,1180160,9.69%,1x256x20x20,1x512x20x20
/model.16/conv/Conv,Conv,26316800,0.13%,270592,0.12%,32896,0.27%,1x256x20x20,1x128x20x20
/model.15/act/Sigmoid,Sigmoid,13107200,0.07%,819200,0.35%,0,0.00%,1x512x20x20,1x512x20x20
/model.16/act/Sigmoid,Sigmoid,3276800,0.02%,204800,0.09%,0,0.00%,1x128x20x20,1x128x20x20
/model.15/act/Mul,Mul,409600,0.00%,819200,0.35%,0,0.00%,1x512x20x20,1x512x20x20
/model.16/act/Mul,Mul,102400,0.00%,204800,0.09%,0,0.00%,1x128x20x20,1x128x20x20
/model.17/Resize,Resize,0,0.00%,819216,0.35%,4,0.00%,1x128x20x20,1x128x40x40
/model.20/cv2.1/cv2.1.0/conv/Conv,Conv,235980800,1.17%,692352,0.29%,294976,2.42%,1x512x20x20,1x64x20x20
/model.20/cv3.1/cv3.1.0/conv/Conv,Conv,943923200,4.70%,2769408,1.18%,1179904,9.69%,1x512x20x20,1x256x20x20
/model.20/cv2.1/cv2.1.0/act/Sigmoid,Sigmoid,1638400,0.01%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.20/cv3.1/cv3.1.0/act/Sigmoid,Sigmoid,6553600,0.03%,409600,0.17%,0,0.00%,1x256x20x20,1x256x20x20
/model.19/conv/Conv,Conv,2831974400,14.09%,3408384,1.45%,884992,7.27%,1x384x40x40,1x256x40x40
/model.20/cv2.1/cv2.1.0/act/Mul,Mul,51200,0.00%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.20/cv3.1/cv3.1.0/act/Mul,Mul,204800,0.00%,409600,0.17%,0,0.00%,1x256x20x20,1x256x20x20
/model.19/act/Sigmoid,Sigmoid,26214400,0.13%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv2.1/cv2.1.1/conv/Conv,Conv,29542400,0.15%,176256,0.07%,36928,0.30%,1x64x20x20,1x64x20x20
/model.20/cv3.1/cv3.1.1/conv/Conv,Conv,472064000,2.35%,1589760,0.68%,590080,4.85%,1x256x20x20,1x256x20x20
/model.19/act/Mul,Mul,819200,0.00%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv2.1/cv2.1.1/act/Sigmoid,Sigmoid,1638400,0.01%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.20/cv3.1/cv3.1.1/act/Sigmoid,Sigmoid,6553600,0.03%,409600,0.17%,0,0.00%,1x256x20x20,1x256x20x20
/model.20/cv2.0/cv2.0.0/conv/Conv,Conv,472064000,2.35%,704640,0.30%,147520,1.21%,1x256x40x40,1x64x40x40
/model.20/cv3.0/cv3.0.0/conv/Conv,Conv,1888256000,9.40%,2818560,1.20%,590080,4.85%,1x256x40x40,1x256x40x40
/model.20/cv2.1/cv2.1.1/act/Mul,Mul,51200,0.00%,102400,0.04%,0,0.00%,1x64x20x20,1x64x20x20
/model.20/cv3.1/cv3.1.1/act/Mul,Mul,204800,0.00%,409600,0.17%,0,0.00%,1x256x20x20,1x256x20x20
/model.20/cv2.0/cv2.0.0/act/Sigmoid,Sigmoid,6553600,0.03%,409600,0.17%,0,0.00%,1x64x40x40,1x64x40x40
/model.20/cv3.0/cv3.0.0/act/Sigmoid,Sigmoid,26214400,0.13%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv2.1/cv2.1.2/Conv,Conv,3328000,0.02%,110720,0.05%,4160,0.03%,1x64x20x20,1x64x20x20
/model.20/cv3.1/cv3.1.2/Conv,Conv,16448000,0.08%,169120,0.07%,20560,0.17%,1x256x20x20,1x80x20x20
/model.20/cv2.0/cv2.0.0/act/Mul,Mul,204800,0.00%,409600,0.17%,0,0.00%,1x64x40x40,1x64x40x40
/model.20/cv3.0/cv3.0.0/act/Mul,Mul,819200,0.00%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv2.0/cv2.0.1/conv/Conv,Conv,118169600,0.59%,483456,0.21%,36928,0.30%,1x64x40x40,1x64x40x40
/model.20/cv3.0/cv3.0.1/conv/Conv,Conv,1888256000,9.40%,2818560,1.20%,590080,4.85%,1x256x40x40,1x256x40x40
/model.20/cv2.0/cv2.0.1/act/Sigmoid,Sigmoid,6553600,0.03%,409600,0.17%,0,0.00%,1x64x40x40,1x64x40x40
/model.20/cv3.0/cv3.0.1/act/Sigmoid,Sigmoid,26214400,0.13%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv2.0/cv2.0.1/act/Mul,Mul,204800,0.00%,409600,0.17%,0,0.00%,1x64x40x40,1x64x40x40
/model.20/cv3.0/cv3.0.1/act/Mul,Mul,819200,0.00%,1638400,0.70%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv2.0/cv2.0.2/Conv,Conv,13312000,0.07%,417920,0.18%,4160,0.03%,1x64x40x40,1x64x40x40
/model.20/cv3.0/cv3.0.2/Conv,Conv,65792000,0.33%,553120,0.24%,20560,0.17%,1x256x40x40,1x80x40x40
/model.20/Split,Split,0,0.00%,1152016,0.49%,2,0.00%,1x144x2000,1x64x2000
/model.20/Sigmoid,Sigmoid,10240000,0.05%,640000,0.27%,0,0.00%,1x80x2000,1x80x2000
/model.20/dfl/Transpose,Transpose,0,0.00%,512000,0.22%,0,0.00%,1x4x16x2000,1x16x4x2000
