Name,Type,FLOPs,CPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,1071513600,2.06%,19671264,2.64%,5232,0.02%,1x3x640x640,1x48x320x320
/model.0/act/Sigmoid,Sigmoid,314572800,0.60%,19660800,2.64%,0,0.00%,1x48x320x320,1x48x320x320
/model.0/act/Mul,Mul,9830400,0.02%,19660800,2.64%,0,0.00%,1x48x320x320,1x48x320x320
/model.1/conv/Conv,Conv,2128281600,4.08%,9913536,1.33%,41568,0.20%,1x48x320x320,1x96x160x160
/model.1/act/Sigmoid,Sigmoid,157286400,0.30%,9830400,1.32%,0,0.00%,1x96x160x160,1x96x160x160
/model.1/act/Mul,Mul,4915200,0.01%,9830400,1.32%,0,0.00%,1x96x160x160,1x96x160x160
/model.2/cv1/conv/Conv,Conv,238387200,0.46%,4924512,0.66%,4656,0.02%,1x96x160x160,1x48x160x160
/model.2/cv2/conv/Conv,Conv,238387200,0.46%,4924512,0.66%,4656,0.02%,1x96x160x160,1x48x160x160
/model.2/cv1/act/Sigmoid,Sigmoid,78643200,0.15%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/cv2/act/Sigmoid,Sigmoid,78643200,0.15%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/cv1/act/Mul,Mul,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/cv2/act/Mul,Mul,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.0/cv1/conv/Conv,Conv,120422400,0.23%,4919904,0.66%,2352,0.01%,1x48x160x160,1x48x160x160
/model.2/m/m.0/cv1/act/Sigmoid,Sigmoid,78643200,0.15%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.0/cv1/act/Mul,Mul,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.0/cv2/conv/Conv,Conv,1064140800,2.04%,4956768,0.67%,20784,0.10%,1x48x160x160,1x48x160x160
/model.2/m/m.0/cv2/act/Sigmoid,Sigmoid,78643200,0.15%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.0/cv2/act/Mul,Mul,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.0/Add,Add,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.1/cv1/conv/Conv,Conv,120422400,0.23%,4919904,0.66%,2352,0.01%,1x48x160x160,1x48x160x160
/model.2/m/m.1/cv1/act/Sigmoid,Sigmoid,78643200,0.15%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.1/cv1/act/Mul,Mul,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.1/cv2/conv/Conv,Conv,1064140800,2.04%,4956768,0.67%,20784,0.10%,1x48x160x160,1x48x160x160
/model.2/m/m.1/cv2/act/Sigmoid,Sigmoid,78643200,0.15%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.1/cv2/act/Mul,Mul,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/m/m.1/Add,Add,2457600,0.00%,4915200,0.66%,0,0.00%,1x48x160x160,1x48x160x160
/model.2/cv3/conv/Conv,Conv,476774400,0.91%,9849024,1.32%,9312,0.04%,1x96x160x160,1x96x160x160
/model.2/cv3/act/Sigmoid,Sigmoid,157286400,0.30%,9830400,1.32%,0,0.00%,1x96x160x160,1x96x160x160
/model.2/cv3/act/Mul,Mul,4915200,0.01%,9830400,1.32%,0,0.00%,1x96x160x160,1x96x160x160
/model.3/conv/Conv,Conv,2125824000,4.08%,5247360,0.71%,166080,0.78%,1x96x160x160,1x192x80x80
/model.3/act/Sigmoid,Sigmoid,78643200,0.15%,4915200,0.66%,0,0.00%,1x192x80x80,1x192x80x80
/model.3/act/Mul,Mul,2457600,0.00%,4915200,0.66%,0,0.00%,1x192x80x80,1x192x80x80
/model.4/cv1/conv/Conv,Conv,237158400,0.45%,2494656,0.34%,18528,0.09%,1x192x80x80,1x96x80x80
/model.4/cv2/conv/Conv,Conv,237158400,0.45%,2494656,0.34%,18528,0.09%,1x192x80x80,1x96x80x80
/model.4/cv1/act/Sigmoid,Sigmoid,39321600,0.08%,2457600,0.33%,0,0.00%,1x96x80x80,1x96x80x80
